Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2023,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,770,248,256.666666666667,0.00249156983950154,9.24253151703131e-05,0.00238698074953825,0.00259615892946484,5.33617805935163e-05
2019,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,284193,94726,94731,0.947161612180052,2.21094397486695e-05,0.947136592993711,0.947186631366394,1.27648909905261e-05
2020,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,286131,95160,95377,0.944404840623723,0.00043523995411655,0.943912320250567,0.944897360996878,0.000251285904671271
2021,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,286908,95350,95636,0.945180526378995,0.000740269724467654,0.944342832326594,0.946018220431396,0.00042739492469433
2022,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,288244,95900,96081.3333333333,0.941838104125539,0.000460657173533442,0.941316821460978,0.942359386790101,0.000265960543143665
2023,Baseline,Health,Disability Status,No disability,Overall,Overall,share,3,289935,96432,96645,0.938128403707678,0.000685036986233651,0.937353211382401,0.938903596032955,0.000395506288406849
2019,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,15854,5282,5284.66666666667,0.0528383878199476,2.21094397486636e-05,0.0528133686336061,0.052863407006289,1.27648909905228e-05
2020,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,16844,5566,5614.66666666667,0.0555951593762774,0.000435239954116545,0.0551026390031217,0.056087679749433,0.000251285904671268
2021,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,16640,5495,5546.66666666667,0.0548194736210053,0.000740269724467654,0.0539817795686044,0.0556571676734061,0.00042739492469433
2022,Baseline,Health,Disability Status,Has disability,Overall,Overall,share,3,17800,5889,5933.33333333333,0.0581618958744608,0.000460657173533476,0.0576406132098992,0.0586831785390224,0.000265960543143684
