Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1899,631,633,0.00632900770758686,1.68983220012566e-05,0.00630988545610455,0.00634812995906917,9.75625075627849e-06
2020,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1932,639,644,0.0063816061241843,6.1330336504842e-05,0.0063122043150548,0.0064510079333138,3.54090862905609e-05
2021,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1927,637,642.333333333333,0.00635324585215513,4.22079546802526e-05,0.00630548305512182,0.00640100864918844,2.43687739965873e-05
2022,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,1988,648,662.666666666667,0.00649731192718385,0.000154489859031669,0.00632249019425381,0.00667213366011389,8.91947616990017e-05
2023,Baseline,Demographics,Ethnicity,Other,Overall,Overall,share,3,2026,663,675.333333333333,0.00655766484819278,0.000142099898970354,0.00639686367494497,0.00671846602144059,8.20414149223525e-05
2019,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,747,249,249,0.00248960996846224,1.65746643921284e-07,0.00248942240847805,0.00248979752844644,9.56938694852304e-08
2020,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,746,248,248.666666666667,0.0024641070605341,7.05991815765112e-06,0.0024561180110625,0.00247209611000571,4.0760456487766e-06
2021,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,747,246,249,0.00246286778328864,3.85842818321845e-05,0.00241920555810413,0.00250653000847315,2.22766455023001e-05
2022,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,760,249,253.333333333333,0.00248391167349229,3.77112553133713e-05,0.00244123737081524,0.00252658597616933,2.17726034066536e-05
2023,Baseline,Demographics,Ethnicity,Missing,Overall,Overall,share,3,781,254,260.333333333333,0.00252790728870102,6.56198626152308e-05,0.00245365142382465,0.0026021631535774,3.78856453450898e-05
